"","X","status","id","id_argos","date","time","velE","velN","lat","long","temp","xm","ym","dist","dist_Paula","xMercator","yMercator","vel","dateF","timeF","timeMong","dayF","dayOfYear","year","nameModis","hoursD","hoursD_Paula","month","daysToFindFrom","daysToFind","dayD","distX","distY","start"
"37",1013,"Recovered",602190,76797,"2008.02.26","3:00:37",-0.27,0.22,47.323146,115.092634,3,1366.955,2072.984,2.85703570156212,2339,12812053,5963551,0.348281495,(08.02.26 03:00:37),"3:00:37",11,"2/26/08",57,2008,"2008049_merc",5,5,"Feb",422,422,16.000011574075,-1.48300000000017,-2.44200000000001,"noStart"
"38",1042,"Recovered",602190,76797,"2008.03.13","3:00:36",0.08,0.08,47.512084,114.752363,10,1339.688,2088.492,31.3685726962512,3225,12774175,5994539,0.113137085,(08.03.13 03:00:36),"3:00:36",11,"3/13/08",73,2008,"2008065_merc",5,5,"Mar",438,438,15.999988425925,-27.2669999999998,15.5080000000003,"noStart"
"39",1071,"Recovered",602190,76797,"2008.03.29","3:00:37",0,-0.04,47.667354,114.25945,17,1303.165,2098.285,37.8131244146791,793,12719304,6020089,0.04,(08.03.29 03:00:37),"3:00:37",11,"3/29/08",89,2008,"2008081_merc",5,5,"Mar",454,454,16.000011574075,-36.5230000000001,9.79299999999967,"noStart"
"40",1100,"Recovered",602190,76797,"2008.04.14","3:01:05",0.04,-0.32,47.878806,114.051801,12,1284.481,2118.366,27.4287881066591,347,12696188,6055007,0.32249031,(08.04.14 03:01:05),"3:01:05",11,"4/14/08",105,2008,"2008097_merc",5,5,"Apr",470,470,16.0003240740734,-18.684,20.0810000000001,"noStart"
"41",1129,"Recovered",602190,76797,"2008.04.30","3:00:36",-0.64,0.14,47.803564,114.13349,16,1291.637,2111.324,10.039825695698,731,12705282,6042566,0.655133574,(08.04.30 03:00:36),"3:00:36",11,"4/30/08",121,2008,"2008113_merc",5,5,"Apr",486,486,15.9996643518516,7.15599999999995,-7.04199999999992,"noStart"
"42",1158,"Recovered",602190,76797,"2008.05.16","3:00:37",0.02,0,47.706598,113.761724,16,1269.078,2095.595,27.5010894693284,985,12663897,6026559,0.02,(08.05.16 03:00:37),"3:00:37",11,"5/16/08",137,2008,"2008129_merc",5,5,"May",502,502,16.000011574075,-22.559,-15.7290000000003,"noStart"
"43",1187,"Recovered",602190,76797,"2008.06.01","3:00:37",0,-0.025,47.515909,113.911101,17,1283.369,2076.91,23.5236456783381,291,12680526,5995168,0.025,(08.06.01 03:00:37),"3:00:37",11,"6/1/08",153,2008,"2008145_merc",5,5,"Jun",518,518,16,14.2909999999999,-18.6849999999999,"noStart"
"44",1216,"Recovered",602190,76797,"2008.06.17","3:00:36",-0.32,0.34,47.773617,113.30146,29,1236.889,2096.625,50.4883315727506,1821,12612661,6037619,0.466904701,(08.06.17 03:00:36),"3:00:36",11,"6/17/08",169,2008,"2008145_merc",5,5,"Jun",534,534,15.999988425925,-46.48,19.7150000000001,"noStart"
"45",1244,"Recovered",602190,76797,"2008.07.03","3:02:24",0.2,0.12,47.831536,113.293965,38,1235.116,2102.837,6.46006756930603,397,12611826,6047189,0.233238076,(08.07.03 03:02:24),"3:02:24",11,"7/3/08",185,2008,"2008161_merc",10,5,"Jul",550,550,16.0012500000012,-1.77299999999991,6.21199999999999,"noStart"
"51",1402,"Capture",602191,76798,"2007.09.05","5:00:00",NA,NA,47.12237,114.93349,NA,1361.099,2048.829,NA,83246,12794338,5930744,NA,(07.09.05 05:00:00),"5:00:00",13,"9/5/07",248,2007,"2007225_merc",0,259,"Sep",248,249,NA,NA,NA,"start"
"53",1456,"Recovered",602191,76798,"2007.10.07","0:01:23",-0.71,1.07,46.623401,115.74721,5,1428.143,2007.05,25.5043247313079,1147,12884920,5849747,1.284133949,(07.10.07 00:01:23),"0:01:23",8,"10/7/07",280,2007,"2007257_merc",5,5,"Oct",280,281,16.0002083333347,-6.72399999999993,-24.6020000000001,"noStart"
"54",1485,"Recovered",602191,76798,"2007.10.23","0:00:37",1.86,0.06,46.79109,116.014842,10,1442.023,2029.389,26.2999110454768,4064,12914713,5876883,1.86096749,(07.10.23 00:00:37),"0:00:37",8,"10/23/07",296,2007,"2007273_merc",5,5,"Oct",296,297,15.9994675925918,13.8799999999999,22.3389999999999,"noStart"
"55",1514,"Recovered",602191,76798,"2007.11.08","0:00:36",-0.02,-0.12,47.300972,115.692889,2,1407.661,2079.634,60.8712335097622,1441,12878873,5959922,0.121655251,(07.11.08 00:00:36),"0:00:36",8,"11/8/07",312,2007,"2007289_merc",5,5,"Nov",312,313,15.999988425925,-34.3619999999999,50.2450000000001,"noStart"
"57",1572,"Recovered",602191,76798,"2007.12.10","0:00:37",-0.01,0.055,46.978665,115.697467,-12,1415.963,2044.776,23.7076585305256,2412,12879383,5907339,0.055901699,(07.12.10 00:00:37),"0:00:37",8,"12/10/07",344,2007,"2007321_merc",5,5,"Dec",344,345,16,-8.548,22.1130000000001,"noStart"
"59",1621,"Recovered",602191,76798,"2008.01.09","3:00:36",0.1,-0.16,47.246012,115.507358,-16,1396.602,2070.848,30.9163646310495,6891,12858220,5950933,0.188679623,(08.01.09 03:00:36),"3:00:36",11,"1/9/08",9,2008,"2008001_merc",5,5,"Jan",374,374,14.1247916666653,29.8690000000001,7.97899999999981,"noStart"
