"","X","rID","quality","date","day","month","year","season","xdd","ydd","xm","ym","uniqueID","dateF","start","leapYear","dayOfYear","dayD","dist","daysToFindFrom","daysToFind","distX","distY","dist2X","dist2Y"
"49",206,206,5,"19/7/07",19,"Jul",2007,"Invierno07",-69.144,-36.0746,-798.229,-476.955,"Name213",19/07/07,"noStart",FALSE,199,16,20.3259699153571,199,201,-14.6180000000001,14.123,-14.6180000000001,14.123
"56",223,223,5,"7/11/07",7,"Nov",2007,"Primavera07",-69.2239,-36.0635,-805.275,-476.165,"Name213",07/11/07,"noStart",FALSE,310,13,5.11790601711284,310,313,-3.471,3.76099999999997,-3.471,3.76099999999997
"58",230,230,5,"12/12/07",12,"Dec",2007,"Primavera07",-69.3135,-36.0123,-813.445,-470.981,"Name213",12/12/07,"noStart",FALSE,345,14,1.39316510148653,345,345,-0.205000000000041,1.37799999999999,-0.205000000000041,1.37799999999999
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",364,364,4,"23/01/07",23,"Jan",2007,"Verano",-69.2797,-36.0742,-810.067,-477.656,"pablo097",23/01/07,"noStart",FALSE,22,14,5.67817329781335,22,25,-3.59400000000005,-4.39600000000002,-3.59400000000005,-4.39600000000002
"61",368,368,2,"8/2/07",8,"Feb",2007,"Verano",-69.173,-36.0499,-800.93,-474.378,"pablo097",08/02/07,"noStart",FALSE,38,16,9.70721654234628,38,41,9.13700000000006,3.27800000000002,9.13700000000006,3.27800000000002
"64",374,374,3,"2/4/07",2,"Apr",2007,"Oto켹",-69.2458,-36.0447,-807.319,-474.195,"pablo097",02/04/07,"noStart",FALSE,91,19,6.0028327479616,91,89,5.85500000000002,-1.32400000000001,5.85500000000002,-1.32400000000001
"65",379,379,2,"17/4/07",17,"Apr",2007,"Oto켹",-69.2247,-36.0059,-805.75,-469.786,"pablo097",17/04/07,"noStart",FALSE,106,15,4.67985491228091,106,105,1.56899999999996,4.40899999999999,1.56899999999996,4.40899999999999
"68",384,384,5,"5/6/07",5,"Jun",2007,"Oto켹",-69.3288,-36.0925,-814.212,-479.953,"pablo097",05/06/07,"noStart",FALSE,155,12,2.56687455868028,155,153,-0.54200000000003,2.50900000000001,-8.46199999999999,-10.167
"69",387,387,5,"19/6/07",19,"Jun",2007,"Oto켹",-69.1535,-36.0655,-799.126,-475.996,"pablo097",19/06/07,"noStart",FALSE,169,14,15.5963215214358,169,169,15.086,3.95699999999999,15.086,3.95699999999999
"70",391,391,3,"3/7/07",3,"Jul",2007,"Invierno07",-69.1692,-36.0453,-800.635,-473.84,"pablo097",03/07/07,"noStart",FALSE,183,14,2.63161870338392,183,185,-1.50900000000001,2.15600000000001,-1.50900000000001,2.15600000000001
"71",392,392,4,"19/7/07",19,"Jul",2007,"Invierno07",-69.1877,-35.9942,-802.6,-468.285,"pablo097",19/07/07,"noStart",FALSE,199,16,5.89230430307189,199,201,-1.96500000000003,5.55499999999995,-1.96500000000003,5.55499999999995
"76",409,409,5,"7/11/07",7,"Nov",2007,"Primavera07",-69.2499,-36.0656,-807.525,-476.535,"pablo097",07/11/07,"noStart",FALSE,310,13,11.8557044919313,310,313,11.823,-0.880000000000052,11.823,-0.880000000000052
"78",415,415,2,"12/12/07",12,"Dec",2007,"Primavera07",-69.2993,-36.0434,-811.985,-474.354,"pablo097",12/12/07,"noStart",FALSE,345,14,3.75331533447433,345,345,3.57600000000002,-1.13999999999999,3.57600000000002,-1.13999999999999
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",459,459,4,"23/1/07",23,"Jan",2007,"Verano",-69.203,-36.0395,-803.623,-473.39,"su394",23/01/07,"noStart",FALSE,22,14,2.47267062100877,22,25,1.81799999999998,1.67599999999999,1.81799999999998,1.67599999999999
"82",465,465,2,"28/2/07",28,"Feb",2007,"Verano",-69.2803,-36.0408,-810.35,-473.962,"su394",28/02/07,"noStart",FALSE,58,15,1.12982343753347,58,57,-0.610000000000014,-0.950999999999965,-0.610000000000014,-0.950999999999965
"83",467,467,3,"14/3/07",14,"Mar",2007,"Verano",-69.2398,-36.0279,-806.908,-472.301,"su394",14/03/07,"noStart",FALSE,72,14,3.8218169762562,72,73,3.44200000000001,1.661,3.44200000000001,1.661
"84",470,470,3,"2/4/07",2,"Apr",2007,"Oto켹",-69.2231,-36.0387,-805.377,-473.412,"su394",02/04/07,"noStart",FALSE,91,19,1.89163474275563,91,89,1.53100000000006,-1.11099999999999,1.53100000000006,-1.11099999999999
"85",475,475,5,"17/4/07",17,"Apr",2007,"Oto켹",-69.2492,-36.0243,-807.756,-471.96,"su394",17/04/07,"noStart",FALSE,106,15,2.78710333500573,106,105,-2.37900000000002,1.452,-2.37900000000002,1.452
"86",478,478,5,"1/5/07",1,"May",2007,"Oto켹",-69.2309,-36.0335,-806.098,-472.875,"su394",01/05/07,"noStart",FALSE,120,14,1.89372358067382,120,121,1.65800000000002,-0.91500000000002,1.65800000000002,-0.91500000000002
"87",483,483,5,"17/5/07",17,"May",2007,"Oto켹",-69.2368,-36.0162,-806.729,-470.989,"su394",17/05/07,"noStart",FALSE,136,16,1.98875765240519,136,137,-0.631000000000085,1.88600000000002,-0.631000000000085,1.88600000000002
"88",485,485,5,"5/6/07",5,"Jun",2007,"Oto켹",-69.3057,-36.0266,-812.665,-472.527,"su394",05/06/07,"noStart",FALSE,155,19,6.13200945857058,155,153,-5.93599999999992,-1.53800000000001,-5.93599999999992,-1.53800000000001
"89",488,488,4,"21/6/07",21,"Jun",2007,"Invierno07",-69.0292,-36.2054,-787.323,-490.812,"su394",21/06/07,"noStart",FALSE,171,16,31.2499310239239,171,169,25.342,-18.285,25.342,-18.285
"96",503,503,5,"7/11/07",7,"Nov",2007,"Primavera07",-69.273,-36.0068,-809.952,-470.158,"su394",07/11/07,"noStart",FALSE,310,13,6.3403331931374,310,313,-4.00900000000001,4.91199999999998,-4.00900000000001,4.91199999999998
"98",510,510,5,"12/12/07",12,"Dec",2007,"Primavera07",-69.2448,-36.0157,-807.428,-470.978,"su394",12/12/07,"noStart",FALSE,345,14,1.23003455236018,345,345,1.21299999999997,0.204000000000008,1.21299999999997,0.204000000000008
