"","uniqueID","year","month","day","hour","xm","ym","dateF","start","leapYear","dayOfYear","dayD","dist","daysToFindFrom","daysToFind","rID","distX","distY","dist2X","dist2Y"
"57426","M7","2008","Feb",29,0,1812.137,511.627,29-02-08,"noStart",TRUE,57,16,1.00783431177943,422,422,82,-0.780999999999949,0.637,-0.780999999999949,0.637
"57956","M7","2008","Mar",16,0,1811.992,512.527,16-03-08,"noStart",TRUE,73,16,0.911605726177746,438,438,83,-0.144999999999982,0.900000000000034,-0.144999999999982,0.900000000000034
"58478","M7","2008","Apr",1,2,1813.583,513.233,01-04-08,"noStart",TRUE,89,16,1.74060822702877,454,454,84,1.59100000000012,0.705999999999904,1.59100000000012,0.705999999999904
"58996","M7","2008","Apr",17,2,1815.787,515.468,17-04-08,"noStart",TRUE,105,16,3.13892354159827,470,470,85,2.20399999999995,2.23500000000001,2.20399999999995,2.23500000000001
"59438","M7","2008","May",3,1,1816.938,513.858,03-05-08,"noStart",TRUE,121,16,1.97911621690092,486,486,86,1.15100000000007,-1.61000000000001,1.15100000000007,-1.61000000000001
"59906","M7","2008","May",19,0,1815.476,512.989,19-05-08,"noStart",TRUE,137,16,1.70076600389349,502,502,87,-1.46199999999999,-0.868999999999915,-1.46199999999999,-0.868999999999915
"60302","M7","2008","Jun",4,0,1815.916,513.055,04-06-08,"noStart",TRUE,153,16,0.444922465155264,518,518,88,0.439999999999827,0.0659999999999172,0.439999999999827,0.0659999999999172
"60824","M7","2008","Jun",20,1,1814.198,511.58,20-06-08,"noStart",TRUE,169,16,2.26432086948811,534,534,89,-1.71799999999985,-1.47499999999997,-1.71799999999985,-1.47499999999997
"61308","M7","2008","Jul",6,0,1813.077,514.068,06-07-08,"noStart",TRUE,185,16,2.72887980680722,550,550,90,-1.12100000000009,2.488,-1.12100000000009,2.488
"61772","M7","2008","Jul",22,0,1815.413,513.21,22-07-08,"noStart",TRUE,201,16,2.4885859438645,566,566,91,2.33600000000001,-0.857999999999947,2.33600000000001,-0.857999999999947
"62188","M7","2008","Aug",7,1,1813.694,514.413,07-08-08,"noStart",TRUE,217,16,2.09813488603572,582,582,92,-1.71900000000005,1.20299999999997,-1.71900000000005,1.20299999999997
"62706","M7","2008","Aug",23,0,1813.994,516.347,23-08-08,"noStart",TRUE,233,16,1.9571295307158,598,598,93,0.299999999999955,1.93399999999997,0.299999999999955,1.93399999999997
"63162","M7","2008","Sep",8,1,1812.2,514.571,08-09-08,"noStart",TRUE,249,16,2.5244032958304,614,614,94,-1.79399999999987,-1.77599999999995,-1.79399999999987,-1.77599999999995
